Year,Certification,Category,Reason
Year 3 (2025–2026),Cellebrite CCO,Mobile Forensics,Core mobile device acquisition skills
Year 3 (2025–2026),SANS SEC487 or Micah Hoffman OSINT,OSINT,Foundation in OSINT methodology
Year 4 (2026–2027),Cellebrite CCPA,Mobile/Cloud Forensics,Advanced mobile & cloud forensics
Year 4 (2026–2027),MCFE,Digital Forensics,Magnet AXIOM for chat log/cloud recovery
Year 4 (2026–2027),Bellingcat OSINT Workshop,OSINT,Verification & geolocation
Year 4 (2026–2027),Cause Mapping RCA (optional),Root Cause Analysis,Structured investigative analysis
Year 5 (2027–2028),Berla iVe Level 1,Vehicle Forensics,Vehicle infotainment system forensics
Year 5 (2027–2028),ISO 27037/27041,Evidence Handling,Evidence handling & preservation
Year 5 (2027–2028),CHFI,Digital Forensics,Computer hacking forensic investigation
Year 5 (2027–2028),TapRooT Essentials RCA,Root Cause Analysis,Structured investigation methodology
Year 6 (2028–2029),CAA A2 CofC/GVC,Drone Operations,Drone operational licensing
Year 6 (2028–2029),Pix4D Mapping Certification,Drone Mapping,Aerial mapping & 3D modelling
Year 6 (2028–2029),CREST CROP,OSINT,Registered OSINT practitioner certification
Year 6 (2028–2029),ICOR RCAP RCA,Root Cause Analysis,Crisis investigation & forensic readiness
Year 7 (2029–2030),Aviation Forensics Specialist,Aviation Forensics,Aircraft accident & flight data analysis
Year 7 (2029–2030),Berla iVe Advanced,Vehicle Forensics,Advanced vehicle forensics
Year 8+,GIAC Cyber Threat Intelligence (GCTI),Threat Intelligence,Advanced cyber threat intelligence
Year 8+,Advanced DF Lab Management (ISO/NIST),Lab Management,DF lab management & quality standards
